timestamp,torso_pitch,torso_pitch_rate,wheel_pos,wheel_vel,wheel_torque,wheel_cmd_torque,motor_drv_mode
1755031944938753623,1.56615,0,0.0191618,0.00210627,-1.56106,-1.54657,10
1755031944963847299,1.56615,0,0.0190817,-0.0208925,-1.5725,-1.54657,10
1755031944988826067,1.56615,0,0.0190817,-0.0208925,-1.5725,-1.54657,10
1755031945013893447,1.56615,0,0.0190817,-0.0208925,-1.5725,-1.54657,10
1755031945038848604,1.56615,0,0.0190817,-0.0208925,-1.5725,-1.54657,10
1755031945063804798,1.56615,0,0.0191618,-0.00633921,-1.60317,-1.54657,10
1755031945088828937,1.56615,0,0.0191618,-0.00633921,-1.60317,-1.54657,10
1755031945113893335,1.56615,0,0.0191618,-0.00633921,-1.60317,-1.54657,10
1755031945138863493,1.56615,0,0.0191618,-0.00633921,-1.60317,-1.54657,10
1755031945163934761,1.56615,0,0.0191618,-0.00436787,-1.57232,-1.54657,10
1755031945188846307,1.56615,0,0.0191618,-0.00436787,-1.57232,-1.54657,10
1755031945213839668,1.56615,0,0.0191618,-0.00436787,-1.57232,-1.54657,10
1755031945238865696,1.56615,0,0.0191618,-0.00436787,-1.57232,-1.54657,10
1755031945263820205,1.56615,0,0.0192415,0.0167812,-1.54993,-1.54657,10
1755031945288775214,1.56615,0,0.0192415,0.0167812,-1.54993,-1.54657,10
1755031945313905723,1.56615,0,0.0192415,0.0167812,-1.54993,-1.54657,10
1755031945338938973,1.56615,0,0.0192415,0.0167812,-1.54993,-1.54657,10
1755031945363820075,1.56615,0,0.0191137,-0.0139928,-1.61831,-1.54657,10
1755031945388803917,1.56615,0,0.0191137,-0.0139928,-1.61831,-1.54657,10
1755031945413902593,1.56615,0,0.0191137,-0.0139928,-1.61831,-1.54657,10
1755031945438765398,1.56615,0,0.0191137,-0.0139928,-1.61831,-1.54657,10
1755031945463860056,1.56615,0,0.0192095,0.0109937,-1.53435,-1.54657,10
1755031945488816917,1.56615,0,0.0192095,0.0109937,-1.53435,-1.54657,10
1755031945514424427,1.56615,0,0.0192095,0.0109937,-1.53435,-1.54657,10
1755031945539232473,1.56615,0,0.0192095,0.0109937,-1.53435,-1.54657,10
1755031945564099723,1.56615,0,0.0192257,0.000880745,-1.56551,-1.54657,10
1755031945589088047,1.56615,0,0.0192257,0.000880745,-1.56551,-1.54657,10
1755031945613861944,1.56615,0,0.0192257,0.000880745,-1.56551,-1.54657,10
1755031945638811546,1.56615,0,0.0192257,0.000880745,-1.56551,-1.54657,10
1755031945663860425,1.56615,0,0.0191456,-0.00927325,-1.53838,-1.54657,10
1755031945688821990,1.56615,0,0.0191456,-0.00927325,-1.53838,-1.54657,10
1755031945714611168,1.56615,0,0.0191456,-0.00927325,-1.53838,-1.54657,10
1755031945739058101,1.56615,0,0.0191456,-0.00927325,-1.53838,-1.54657,10
1755031945763791591,1.56615,0,0.0192095,0.00113701,-1.57657,-1.54657,10
1755031945788805934,1.56615,0,0.0192095,0.00113701,-1.57657,-1.54657,10
1755031945813786184,1.56615,0,0.0192095,0.00113701,-1.57657,-1.54657,10
1755031945838847008,1.56615,0,0.0192095,0.00113701,-1.57657,-1.54657,10
1755031945863764350,1.56615,0,0.0192095,0.0233916,-1.45899,-1.54657,10
1755031945888783674,1.56615,0,0.0192734,0.0233916,-1.45899,-1.54657,10
1755031945914396185,1.56615,0,0.0192734,0.0233916,-1.45899,-1.54657,10
1755031945939018378,1.56615,0,0.0192734,0.0233916,-1.45899,-1.54657,10
1755031945963785368,1.56615,0,0.0192734,-0.00544885,-1.50757,-1.54657,10
1755031945988775692,1.56615,0,0.0190979,-0.00544885,-1.50757,-1.54657,10
1755031946013771849,1.56615,0,0.0190979,-0.00544885,-1.50757,-1.54657,10
1755031946038766358,1.56615,0,0.0190979,-0.00544885,-1.50757,-1.54657,10
1755031946063774182,1.56615,0,0.0191456,-0.013073,-1.55698,-1.54657,10
1755031946088772080,1.56615,0,0.0191456,-0.013073,-1.55698,-1.54657,10
1755031946114563092,1.56615,0,0.0191456,-0.013073,-1.55698,-1.54657,10
1755031946138769432,1.56615,0,0.0191456,-0.013073,-1.55698,-1.54657,10
1755031946163780534,1.56615,0,0.0191456,-0.00212719,-1.47304,-1.54657,10
1755031946189063377,1.56615,0,0.0191299,-0.00212719,-1.47304,-1.54657,10
1755031946213755219,1.56615,0,0.0191299,-0.00212719,-1.47304,-1.54657,10
1755031946238738320,1.56615,0,0.0191299,-0.00212719,-1.47304,-1.54657,10
1755031946263778607,1.56615,0,0.0190979,-0.0102343,-1.54575,-1.54657,10
1755031946288791561,1.56615,0,0.0190979,-0.0102343,-1.54575,-1.54657,10
1755031946314007534,1.56615,0,0.0190979,-0.0102343,-1.54575,-1.54657,10
1755031946338788190,1.56615,0,0.0190979,-0.0102343,-1.54575,-1.54657,10
1755031946364043756,1.56615,0,0.0191456,0.00437488,-1.49633,-1.54657,10
1755031946388774209,1.56615,0,0.0191456,0.00437488,-1.49633,-1.54657,10
1755031946413779125,1.56615,0,0.0191456,0.00437488,-1.49633,-1.54657,10
1755031946438782505,1.56615,0,0.0191456,0.00437488,-1.49633,-1.54657,10
1755031946463784699,1.56615,0,0.0191456,0.00478557,-1.56104,-1.54657,10
1755031946488774505,1.56615,0,0.0192095,0.00478557,-1.56104,-1.54657,10
1755031946514581516,1.56615,0,0.0192095,0.00478557,-1.56104,-1.54657,10
1755031946538799041,1.56615,0,0.0192095,0.00478557,-1.56104,-1.54657,10
1755031946563783458,1.56615,0,0.0192095,-0.019672,-1.53055,-1.54657,10
1755031946588783171,1.56615,0,0.0190817,-0.019672,-1.53055,-1.54657,10
1755031946614065607,1.56615,0,0.0190817,-0.019672,-1.53055,-1.54657,10
1755031946638781337,1.56615,0,0.0190817,-0.019672,-1.53055,-1.54657,10
1755031946663783920,1.56615,0,0.0190817,-0.019672,-1.52772,-1.54657,10
1755031946688778318,1.56615,0,0.0192257,0.0104005,-1.52772,-1.54657,10
1755031946714810015,1.56615,0,0.0192257,0.0104005,-1.52772,-1.54657,10
1755031946738857985,1.56615,0,0.0192257,0.0104005,-1.52772,-1.54657,10
1755031946763786031,1.56615,0,0.0191299,-0.00448464,-1.58032,-1.54657,10
1755031946788791540,1.56615,0,0.0191299,-0.00448464,-1.58032,-1.54657,10
1755031946813810864,1.56615,0,0.0191299,-0.00448464,-1.58032,-1.54657,10
1755031946838774336,1.56615,0,0.0191299,-0.00448464,-1.58032,-1.54657,10
1755031946863839605,1.56615,0,0.0191137,-0.00384887,-1.53047,-1.54657,10
1755031946888790262,1.56615,0,0.0191137,-0.00384887,-1.53047,-1.54657,10
1755031946913802771,1.56615,0,0.0191137,-0.00384887,-1.53047,-1.54657,10
1755031946938904929,1.56615,0,0.0191137,-0.00384887,-1.53047,-1.54657,10
1755031946963838567,1.56615,0,0.0191137,-0.0170617,-1.53429,-1.54657,10
1755031946988926503,1.56615,0,0.0190979,-0.0170617,-1.53429,-1.54657,10
1755031947013892549,1.56615,0,0.0190979,-0.0170617,-1.53429,-1.54657,10
1755031947038888243,1.56615,0,0.0190979,-0.0170617,-1.53429,-1.54657,10
1755031947063914826,1.56615,0,0.0191299,-0.0202388,-1.54571,-1.54657,10
1755031947088910428,1.56615,0,0.0191299,-0.0202388,-1.54571,-1.54657,10
