timestamp,torso_pitch,torso_pitch_rate,wheel_pos,wheel_vel,wheel_torque,wheel_cmd_torque,mot_drv_mode,encoder_steps
1771883069882315045,3.17682,0,0.314159,0,nan,nan,10,-2
1771883069892298429,3.17682,0,0.314159,0,nan,nan,10,-2
1771883069902563501,3.17682,0,0.314159,0,nan,nan,10,-2
1771883069912313323,3.17682,0,0.314159,0,nan,nan,10,-2
1771883069922326187,3.17682,0,0.314159,0,nan,nan,10,-2
1771883069932183263,3.17682,0,0.314159,0,nan,nan,10,-2
1771883069942201089,3.17682,0,0.314159,0,nan,nan,10,-2
1771883069952268727,3.17682,0,0.314159,0,nan,nan,10,-2
1771883069962033290,3.17682,0,0.314159,0,nan,nan,10,-2
1771883069971959880,3.17682,0,0.314159,0,0,nan,10,-2
1771883069982168233,3.17682,0,0.314159,0,nan,nan,10,-2
1771883069992224057,3.17694,0,0.314159,0,nan,nan,10,-2
1771883070002132056,3.17694,0,0.314159,0,nan,nan,10,-2
1771883070012316539,3.17694,0,0.314159,0,nan,nan,10,-2
1771883070022191299,3.17694,0,0.314159,0,nan,nan,10,-2
1771883070032410114,3.17694,0,0.314159,0,nan,nan,10,-2
1771883070042060220,3.17694,0,0.314159,0,nan,nan,10,-2
1771883070051935943,3.17694,0,0.314159,0,nan,nan,10,-2
1771883070061884291,3.17694,0,0.314159,0,nan,nan,10,-2
1771883070071952503,3.17694,0,0.314159,0,nan,nan,10,-2
1771883070081947386,3.17694,0,0.314159,0,nan,nan,10,-2
1771883070092019098,3.17694,0,0.314159,0,nan,nan,10,-2
1771883070101910524,3.17694,0,0.314159,0,nan,nan,10,-2
1771883070112013438,3.17706,0,0.314159,0,nan,nan,10,-2
1771883070122040782,3.17706,0,0.314159,0,nan,nan,10,-2
1771883070131968465,3.17706,0,0.314159,0,nan,nan,10,-2
1771883070141969440,3.17706,0,0.314159,0,nan,nan,10,-2
1771883070152107981,3.17706,0,0.314159,0,nan,nan,10,-2
1771883070162041646,3.17706,0,0.314159,0,nan,nan,10,-2
1771883070172173928,3.17706,0,0.314159,0,nan,nan,10,-2
1771883070182005413,3.17706,0,0.314159,0,nan,nan,10,-2
1771883070192160194,3.17706,0,0.314159,0,nan,nan,10,-2
1771883070202021733,3.17706,0,0.314159,0,nan,nan,10,-2
1771883070212435518,3.17706,0,0.314159,0,nan,nan,10,-2
1771883070222068384,3.17706,0,0.314159,0,nan,nan,10,-2
1771883070232158262,3.17706,0,0.314159,0,nan,nan,10,-2
1771883070242076075,3.17706,0,0.314159,0,nan,nan,10,-2
1771883070252092271,3.17706,0,0.314159,0,nan,nan,10,-2
1771883070262025213,3.17706,0,0.314159,0,nan,nan,10,-2
1771883070272364873,3.17706,0,0.314159,0,nan,nan,10,-2
1771883070282503841,3.17706,0,0.314159,0,nan,nan,10,-2
1771883070292171983,3.17706,0,0.314159,0,nan,nan,10,-2
1771883070301832773,3.17706,0,0.314159,0,nan,nan,10,-2
1771883070311871024,3.17706,0,0.314159,0,nan,nan,10,-2
1771883070321834427,3.17718,0,0.314159,0,nan,nan,10,-2
1771883070331790016,3.17718,0,0.314159,0,nan,nan,10,-2
1771883070341801583,3.17718,0,0.314159,0,nan,nan,10,-2
1771883070351923996,3.17718,0,0.314159,0,nan,nan,10,-2
1771883070361752314,3.17718,0,0.314159,0,nan,nan,10,-2
1771883070371629833,3.17718,0,0.314159,0,0.0328703,8.50941,10,-2
1771883070381642808,3.17718,0,0.314159,0,2.13368,8.50941,10,-2
1771883070391602267,3.17718,0,-0.312625,0,2.61721,8.50941,10,7
1771883070401599797,3.10098,0,0.247161,0,3.12653,8.26219,10,23
1771883070411595199,3.10098,0,0.261733,0,3.66699,8.26219,10,51
1771883070421605414,3.09488,-2.20898,0.281709,-2.20898,3.1792,6.98326,10,93
1771883070431661516,3.08341,-3.82031,0.304754,-3.82031,2.81476,6.02757,10,145
1771883070441648307,3.03079,-4.12305,0.294318,-4.12305,2.48458,5.68391,10,214
1771883070451605006,2.95704,-4.26953,0.25969,-4.49609,2.42573,5.35949,10,278
1771883070461636239,2.91616,-4.61523,0.267896,-4.61523,2.96148,5.02802,10,325
1771883070471644844,2.84625,-4.99609,0.264715,-4.99609,3.09634,4.73643,10,411
1771883070481615154,2.81994,-5.66016,0.28902,-5.66016,3.30356,4.1127,10,491
1771883070491657608,2.73376,-6.34766,0.303313,-6.63281,2.70442,3.42931,10,594
1771883070501597716,2.6969,-6.84961,0.306341,-6.84961,3.08335,3.01672,10,669
1771883070511564953,2.59295,-7.15039,0.275255,-7.15039,2.36419,2.48162,10,775
1771883070521590204,2.5614,-7.32227,0.312785,-7.32227,2.41907,2.27104,10,859
1771883070531642250,2.44905,-7.63672,0.281681,-7.63672,2.3891,1.68106,10,990
1771883070541938598,2.40664,-7.98633,-0.266324,-7.98633,1.99956,1.32249,10,1112
1771883070551633498,2.37339,-8.20508,-0.263527,-8.20508,1.02496,1.07113,10,1183
1771883070561571606,2.20498,-8.14453,0.283824,-8.14453,0.806822,0.438221,10,1320
1771883070571596654,2.171,-8.04883,-0.306384,-8.04883,0.519773,0.35246,10,1398
1771883070581635979,2.08975,-7.61523,-0.311572,-7.61523,0.342051,0.255968,10,1479
1771883070591603696,1.97821,-7.21875,0.281008,-7.21875,0.51804,-0.00946895,10,1588
1771883070601756200,1.93913,-6.55078,0.309426,-6.55078,0.0707914,0.193488,10,1660
1771883070611867002,1.84283,-6.27734,0.273723,-6.27734,0.457008,-0.101609,10,1751
1771883070621774927,1.80671,-6.03125,0.288217,-5.53906,0.302339,-0.135328,10,1814
1771883070631606560,1.75394,-5.29102,0.286257,-5.29102,0.0800355,0.027653,10,1878
1771883070641612387,1.70252,-4.61133,0.297542,-4.61133,0.364255,-0.0943625,10,1933
1771883070651686747,1.65364,-4.38672,0.27298,-4.38672,0.270721,0.0350389,10,1991
1771883070661812807,1.61011,-4.16602,0.291041,-3.71094,0.143033,-0.0661484,10,2034
1771883070671588814,1.57032,-3.71094,0.268883,-3.71094,0.0982826,-0.0178057,10,2071
1771883070681809925,1.53522,-2.7168,0.262166,-2.7168,0.0852195,0.359985,10,2100
1771883070691643094,1.49284,-2.47461,0.242034,-2.24023,0.424686,0.266543,10,2120
1771883070701615960,1.48001,-2.00586,0.24174,-2.00586,0.625546,0.462858,10,2131
1771883070711566308,1.45208,-1.56055,0.229645,-1.38086,0.536275,0.561299,10,2148
1771883070721614725,1.44538,-1.38086,0.234453,-1.05273,0.656686,0.626224,10,2155
1771883070731663124,1.43309,-0.689453,0.21715,-0.689453,0.689207,0.951281,10,2158
